dire_1,dire_2,dire_3,dire_4,dire_5,dire_6,first_team_ban,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,radiant_win
sand_king,lina,rubick,disruptor,life_stealer,0,1,ursa,bristleback,dazzle,ancient_apparition,pangolier,1.0
pugna,dragon_knight,huskar,death_prophet,tiny,0,0,drow_ranger,faceless_void,pudge,shredder,invoker,0.0
techies,sven,sniper,lich,pudge,0,1,antimage,shadow_shaman,life_stealer,zuus,furion,0.0
lich,slardar,clinkz,bristleback,pudge,0,0,viper,riki,life_stealer,meepo,ogre_magi,1.0
drow_ranger,jakiro,slark,sand_king,pudge,0,1,dawnbreaker,luna,antimage,necrolyte,monkey_king,0.0
earthshaker,beastmaster,zuus,clinkz,crystal_maiden,0,0,lina,slardar,storm_spirit,meepo,dawnbreaker,0.0
chaos_knight,sven,ogre_magi,hoodwink,arc_warden,0,0,shadow_shaman,slardar,witch_doctor,zuus,razor,1.0
viper,pudge,vengefulspirit,drow_ranger,techies,0,1,abyssal_underlord,necrolyte,ogre_magi,juggernaut,mirana,1.0
shredder,bane,monkey_king,sven,sniper,0,0,hoodwink,ogre_magi,undying,necrolyte,shadow_shaman,1.0
treant,pudge,life_stealer,puck,chaos_knight,0,0,slark,ember_spirit,juggernaut,sand_king,techies,0.0
medusa,viper,marci,dawnbreaker,lich,0,0,dragon_knight,tusk,lina,juggernaut,undying,1.0
templar_assassin,monkey_king,hoodwink,legion_commander,witch_doctor,0,1,queenofpain,troll_warlord,kunkka,vengefulspirit,ancient_apparition,0.0
dragon_knight,enchantress,spirit_breaker,warlock,mirana,0,0,phantom_assassin,bristleback,luna,primal_beast,skeleton_king,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0.0
spectre,nyx_assassin,elder_titan,slark,bristleback,0,0,witch_doctor,tiny,shadow_shaman,puck,skeleton_king,1.0
puck,lion,rubick,tidehunter,tiny,0,0,phantom_assassin,sand_king,naga_siren,viper,nevermore,0.0
ogre_magi,snapfire,undying,sniper,jakiro,0,0,tidehunter,keeper_of_the_light,spectre,pudge,lion,1.0
sniper,grimstroke,faceless_void,antimage,drow_ranger,0,0,venomancer,windrunner,broodmother,pugna,luna,0.0
dazzle,phantom_lancer,lion,slardar,skeleton_king,0,1,ogre_magi,marci,abaddon,luna,sniper,0.0
spirit_breaker,morphling,weaver,invoker,tiny,0,0,drow_ranger,furion,abaddon,nevermore,lina,1.0
rubick,abyssal_underlord,skeleton_king,lich,silencer,0,0,spirit_breaker,puck,marci,juggernaut,zuus,1.0
phantom_assassin,jakiro,lich,windrunner,axe,0,0,0,zuus,dragon_knight,warlock,juggernaut,0.0
drow_ranger,axe,warlock,pudge,skeleton_king,0,0,zuus,windrunner,jakiro,dragon_knight,witch_doctor,0.0
lion,warlock,zuus,skeleton_king,phantom_assassin,0,0,viper,sniper,witch_doctor,axe,vengefulspirit,1.0
crystal_maiden,enigma,ogre_magi,bristleback,necrolyte,0,0,shadow_shaman,rubick,pudge,lion,snapfire,1.0
treant,necrolyte,alchemist,furion,morphling,0,0,sniper,zuus,centaur,enigma,phantom_assassin,1.0
shadow_shaman,void_spirit,pudge,morphling,tidehunter,0,0,abaddon,bristleback,rubick,nevermore,legion_commander,1.0
pudge,invoker,techies,alchemist,legion_commander,0,1,sniper,rattletrap,crystal_maiden,enigma,slark,0.0
slark,keeper_of_the_light,rubick,kunkka,shadow_shaman,0,0,hoodwink,puck,ogre_magi,sniper,beastmaster,1.0
alchemist,dazzle,skywrath_mage,abyssal_underlord,medusa,0,1,ancient_apparition,grimstroke,storm_spirit,legion_commander,nevermore,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0.0
ogre_magi,morphling,bristleback,shadow_shaman,nevermore,0,0,visage,marci,troll_warlord,disruptor,rattletrap,1.0
troll_warlord,invoker,windrunner,obsidian_destroyer,lion,0,0,ogre_magi,witch_doctor,antimage,puck,slardar,1.0
keeper_of_the_light,dazzle,bristleback,rubick,antimage,0,0,winter_wyvern,phantom_assassin,mars,visage,lina,0.0
oracle,riki,ogre_magi,crystal_maiden,bounty_hunter,0,0,wisp,viper,zuus,bristleback,phantom_assassin,1.0
venomancer,clinkz,magnataur,undying,juggernaut,0,1,tiny,rubick,luna,slardar,silencer,0.0
shadow_shaman,pudge,life_stealer,centaur,vengefulspirit,0,1,silencer,luna,magnataur,bristleback,troll_warlord,1.0
crystal_maiden,dawnbreaker,spectre,doom_bringer,furion,0,0,techies,tiny,storm_spirit,templar_assassin,antimage,0.0
techies,phantom_lancer,enchantress,elder_titan,pudge,0,0,jakiro,witch_doctor,tiny,medusa,ogre_magi,0.0
gyrocopter,dazzle,medusa,venomancer,grimstroke,0,0,necrolyte,night_stalker,enchantress,mirana,enigma,1.0
sniper,zuus,rattletrap,centaur,faceless_void,0,1,ember_spirit,legion_commander,oracle,earth_spirit,lion,1.0
legion_commander,slark,phantom_assassin,drow_ranger,shadow_shaman,0,0,zuus,pudge,centaur,witch_doctor,weaver,0.0
tinker,life_stealer,mars,lich,earthshaker,0,1,undying,troll_warlord,invoker,dark_willow,furion,1.0
faceless_void,broodmother,pangolier,crystal_maiden,witch_doctor,0,0,snapfire,bane,skeleton_king,windrunner,medusa,1.0
obsidian_destroyer,morphling,magnataur,alchemist,ogre_magi,0,0,faceless_void,ember_spirit,axe,necrolyte,windrunner,0.0
phantom_assassin,abyssal_underlord,warlock,ember_spirit,skywrath_mage,0,0,viper,phantom_lancer,marci,nyx_assassin,shadow_shaman,1.0
huskar,riki,vengefulspirit,queenofpain,dazzle,0,0,ursa,invoker,lion,chaos_knight,witch_doctor,1.0
queenofpain,pudge,arc_warden,undying,obsidian_destroyer,0,0,brewmaster,drow_ranger,life_stealer,ember_spirit,void_spirit,1.0
storm_spirit,rattletrap,dawnbreaker,tiny,juggernaut,0,0,oracle,arc_warden,antimage,skywrath_mage,shredder,1.0
windrunner,0,0,0,0,0,0,windrunner,0,0,0,0,0.0
windrunner,0,0,0,0,0,0,windrunner,0,0,0,0,0.0
windrunner,0,0,0,0,0,0,windrunner,0,0,0,0,1.0
magnataur,marci,phantom_assassin,queenofpain,earthshaker,0,0,axe,lina,hoodwink,windrunner,bristleback,0.0
kunkka,pudge,lion,bristleback,skywrath_mage,0,0,ogre_magi,drow_ranger,techies,nyx_assassin,skeleton_king,0.0
legion_commander,crystal_maiden,arc_warden,rubick,puck,0,1,disruptor,windrunner,earthshaker,dawnbreaker,magnataur,0.0
sven,jakiro,death_prophet,abyssal_underlord,ogre_magi,0,1,earthshaker,queenofpain,slark,grimstroke,tusk,1.0
huskar,pudge,riki,invoker,enchantress,0,0,earthshaker,viper,ogre_magi,zuus,dazzle,0.0
arc_warden,juggernaut,tinker,kunkka,phantom_assassin,0,0,pugna,hoodwink,crystal_maiden,luna,nevermore,0.0
sniper,lion,silencer,slardar,slark,0,1,lina,keeper_of_the_light,medusa,sven,undying,1.0
marci,magnataur,treant,drow_ranger,keeper_of_the_light,0,1,ember_spirit,bounty_hunter,pudge,phantom_lancer,venomancer,1.0
zuus,magnataur,tiny,medusa,mars,0,1,tidehunter,windrunner,disruptor,phantom_lancer,witch_doctor,1.0
dazzle,terrorblade,keeper_of_the_light,ember_spirit,marci,0,0,undying,disruptor,void_spirit,shredder,naga_siren,1.0
venomancer,weaver,bloodseeker,ursa,sniper,0,0,necrolyte,juggernaut,templar_assassin,lich,spirit_breaker,1.0
warlock,troll_warlord,necrolyte,invoker,medusa,0,0,lion,monkey_king,storm_spirit,rattletrap,disruptor,1.0
pudge,invoker,mirana,skywrath_mage,juggernaut,0,0,leshrac,legion_commander,grimstroke,centaur,dawnbreaker,0.0
arc_warden,rubick,drow_ranger,bristleback,queenofpain,0,1,phantom_assassin,nevermore,magnataur,pudge,shadow_shaman,1.0
centaur,juggernaut,marci,visage,lion,0,0,mars,weaver,alchemist,tiny,oracle,0.0
spirit_breaker,bounty_hunter,drow_ranger,rubick,visage,0,1,undying,necrolyte,witch_doctor,faceless_void,bristleback,0.0
luna,phoenix,primal_beast,shadow_shaman,drow_ranger,0,0,invoker,hoodwink,obsidian_destroyer,sven,tusk,1.0
lich,ursa,obsidian_destroyer,sand_king,ember_spirit,0,0,death_prophet,skywrath_mage,faceless_void,dragon_knight,enchantress,0.0
vengefulspirit,witch_doctor,drow_ranger,skeleton_king,axe,0,0,pudge,sniper,dragon_knight,windrunner,jakiro,1.0
nyx_assassin,monkey_king,viper,huskar,slark,0,0,pugna,medusa,slardar,rubick,puck,0.0
lina,crystal_maiden,zuus,keeper_of_the_light,bristleback,0,1,skywrath_mage,sven,night_stalker,arc_warden,shadow_shaman,0.0
lone_druid,juggernaut,crystal_maiden,doom_bringer,shredder,0,1,ogre_magi,rattletrap,disruptor,weaver,phantom_assassin,0.0
alchemist,juggernaut,bristleback,silencer,bounty_hunter,0,1,skywrath_mage,windrunner,marci,invoker,slark,1.0
warlock,void_spirit,drow_ranger,tidehunter,ogre_magi,0,0,rattletrap,windrunner,skeleton_king,leshrac,lion,0.0
ursa,storm_spirit,bounty_hunter,crystal_maiden,witch_doctor,0,0,earth_spirit,slardar,ogre_magi,bloodseeker,pudge,0.0
dragon_knight,undying,lion,puck,razor,0,0,ogre_magi,omniknight,spectre,jakiro,night_stalker,1.0
razor,faceless_void,jakiro,necrolyte,pudge,0,0,snapfire,marci,skeleton_king,shadow_shaman,storm_spirit,0.0
sniper,silencer,witch_doctor,phantom_assassin,rattletrap,0,1,faceless_void,zuus,disruptor,marci,mars,1.0
windrunner,void_spirit,tiny,spirit_breaker,mirana,0,0,furion,lion,chaos_knight,drow_ranger,zuus,1.0
night_stalker,silencer,vengefulspirit,ursa,jakiro,0,0,life_stealer,zuus,razor,winter_wyvern,nevermore,1.0
lion,tidehunter,furion,obsidian_destroyer,disruptor,0,0,jakiro,slardar,pudge,hoodwink,juggernaut,1.0
life_stealer,rubick,enigma,dark_willow,nevermore,0,0,mars,witch_doctor,windrunner,pudge,winter_wyvern,0.0
chaos_knight,sven,earth_spirit,earthshaker,batrider,0,0,doom_bringer,kunkka,sniper,invoker,pudge,1.0
luna,drow_ranger,life_stealer,weaver,silencer,0,0,viper,nevermore,rubick,tinker,chaos_knight,1.0
invoker,storm_spirit,pudge,winter_wyvern,nevermore,0,0,bristleback,pugna,sniper,witch_doctor,dark_willow,1.0
treant,crystal_maiden,ancient_apparition,disruptor,windrunner,0,0,grimstroke,visage,tinker,riki,templar_assassin,0.0
dazzle,ursa,monkey_king,phantom_assassin,grimstroke,0,0,tidehunter,antimage,lion,bounty_hunter,alchemist,0.0
rubick,kunkka,invoker,shredder,sniper,0,1,winter_wyvern,clinkz,monkey_king,spectre,huskar,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0.0
dawnbreaker,sniper,terrorblade,rubick,lich,0,1,zuus,skeleton_king,pudge,viper,puck,0.0
furion,lina,windrunner,invoker,razor,0,0,undying,necrolyte,juggernaut,crystal_maiden,void_spirit,0.0
tusk,ogre_magi,faceless_void,witch_doctor,ember_spirit,0,0,axe,luna,earthshaker,ursa,zuus,0.0
void_spirit,skywrath_mage,bounty_hunter,invoker,rubick,0,0,nyx_assassin,luna,pudge,shredder,disruptor,0.0
tinker,razor,disruptor,magnataur,phantom_assassin,0,0,lone_druid,ursa,slardar,templar_assassin,drow_ranger,0.0
hoodwink,mars,skywrath_mage,phantom_assassin,lina,0,1,shadow_shaman,viper,bristleback,chaos_knight,silencer,0.0
lion,nevermore,terrorblade,faceless_void,techies,0,0,meepo,tiny,templar_assassin,life_stealer,doom_bringer,1.0
sniper,drow_ranger,bristleback,dawnbreaker,razor,0,1,puck,obsidian_destroyer,venomancer,spectre,nyx_assassin,1.0
keeper_of_the_light,phantom_assassin,tiny,spirit_breaker,sniper,0,0,leshrac,juggernaut,ogre_magi,zuus,silencer,1.0
snapfire,wisp,razor,grimstroke,rubick,0,0,centaur,skywrath_mage,lina,magnataur,ursa,1.0
jakiro,legion_commander,silencer,necrolyte,sven,0,0,monkey_king,tusk,shredder,windrunner,pudge,0.0
invoker,sven,dazzle,pudge,sniper,0,1,centaur,drow_ranger,rubick,marci,phantom_assassin,0.0
warlock,tiny,zuus,medusa,omniknight,0,1,huskar,pudge,sniper,juggernaut,crystal_maiden,0.0
spirit_breaker,leshrac,juggernaut,sniper,troll_warlord,0,0,nevermore,necrolyte,zuus,dazzle,sven,1.0
phantom_assassin,furion,sand_king,spirit_breaker,death_prophet,0,0,zuus,razor,bloodseeker,witch_doctor,necrolyte,0.0
marci,nevermore,phantom_assassin,pudge,dazzle,0,1,axe,crystal_maiden,ember_spirit,juggernaut,queenofpain,0.0
treant,shredder,ogre_magi,gyrocopter,slark,0,1,lion,alchemist,venomancer,winter_wyvern,bristleback,1.0
elder_titan,mirana,templar_assassin,alchemist,pudge,0,1,antimage,night_stalker,witch_doctor,crystal_maiden,nevermore,0.0
juggernaut,earth_spirit,puck,crystal_maiden,pudge,0,1,omniknight,lina,tiny,faceless_void,ogre_magi,0.0
pudge,antimage,lone_druid,nevermore,furion,0,0,viper,jakiro,faceless_void,shadow_shaman,juggernaut,1.0
silencer,gyrocopter,weaver,crystal_maiden,pudge,0,0,drow_ranger,bristleback,legion_commander,void_spirit,troll_warlord,0.0
tiny,jakiro,nevermore,rubick,phantom_assassin,0,1,lina,vengefulspirit,furion,viper,treant,1.0
mirana,invoker,ogre_magi,morphling,winter_wyvern,0,0,keeper_of_the_light,pudge,windrunner,juggernaut,nevermore,0.0
tidehunter,crystal_maiden,juggernaut,undying,sniper,0,0,winter_wyvern,rubick,storm_spirit,bristleback,slark,1.0
earthshaker,vengefulspirit,furion,primal_beast,crystal_maiden,0,0,naga_siren,silencer,elder_titan,lich,drow_ranger,0.0
grimstroke,leshrac,drow_ranger,windrunner,dazzle,0,0,faceless_void,invoker,marci,tidehunter,void_spirit,0.0
legion_commander,dawnbreaker,keeper_of_the_light,earthshaker,drow_ranger,0,0,spirit_breaker,ursa,night_stalker,invoker,shadow_shaman,0.0
necrolyte,lina,spirit_breaker,phantom_assassin,pangolier,0,0,obsidian_destroyer,enigma,treant,monkey_king,phoenix,1.0
lion,spirit_breaker,kunkka,juggernaut,brewmaster,0,1,windrunner,witch_doctor,nyx_assassin,nevermore,skeleton_king,0.0
necrolyte,skeleton_king,troll_warlord,shadow_shaman,zuus,0,0,grimstroke,phantom_assassin,gyrocopter,faceless_void,sniper,0.0
night_stalker,faceless_void,puck,mirana,shadow_shaman,0,0,lina,witch_doctor,ancient_apparition,pudge,antimage,0.0
windrunner,grimstroke,silencer,lich,undying,0,0,mirana,legion_commander,oracle,juggernaut,necrolyte,1.0
hoodwink,ursa,bloodseeker,ogre_magi,clinkz,0,0,rubick,juggernaut,tiny,rattletrap,pudge,1.0
faceless_void,pudge,viper,drow_ranger,witch_doctor,0,1,venomancer,bristleback,weaver,void_spirit,rubick,0.0
zuus,windrunner,slark,enchantress,witch_doctor,0,1,tinker,pangolier,mirana,rubick,terrorblade,0.0
mars,marci,enchantress,vengefulspirit,rubick,0,1,techies,juggernaut,invoker,viper,shadow_shaman,1.0
skeleton_king,zuus,faceless_void,viper,rubick,0,0,night_stalker,juggernaut,lion,spectre,tidehunter,1.0
disruptor,antimage,obsidian_destroyer,axe,windrunner,0,1,jakiro,lion,morphling,bloodseeker,drow_ranger,0.0
legion_commander,ember_spirit,tiny,phantom_assassin,ogre_magi,0,0,juggernaut,mirana,jakiro,earthshaker,necrolyte,0.0
skywrath_mage,warlock,windrunner,sniper,juggernaut,0,0,sand_king,antimage,legion_commander,techies,viper,0.0
kunkka,viper,life_stealer,necrolyte,pangolier,0,1,omniknight,zuus,void_spirit,weaver,bane,1.0
shadow_shaman,enigma,tidehunter,lone_druid,ursa,0,0,clinkz,faceless_void,storm_spirit,nyx_assassin,templar_assassin,1.0
pudge,mars,marci,sniper,zuus,0,1,queenofpain,grimstroke,skywrath_mage,phantom_assassin,sand_king,1.0
ogre_magi,invoker,pudge,lion,lina,0,0,queenofpain,spirit_breaker,clinkz,ursa,shadow_shaman,1.0
drow_ranger,windrunner,invoker,sven,storm_spirit,0,1,axe,phantom_assassin,medusa,witch_doctor,beastmaster,1.0
life_stealer,dawnbreaker,pudge,lich,puck,0,1,abyssal_underlord,nevermore,tusk,mirana,slark,1.0
storm_spirit,ursa,disruptor,marci,dawnbreaker,0,0,rattletrap,furion,jakiro,invoker,tidehunter,0.0
invoker,viper,lina,juggernaut,bloodseeker,0,0,night_stalker,skywrath_mage,earthshaker,bristleback,riki,1.0
rattletrap,medusa,omniknight,arc_warden,templar_assassin,0,0,mars,doom_bringer,sniper,disruptor,skywrath_mage,1.0
life_stealer,shadow_shaman,techies,phantom_lancer,tusk,0,0,earthshaker,zuus,lich,pangolier,omniknight,0.0
lich,zuus,pudge,dragon_knight,phantom_assassin,0,0,sniper,viper,axe,crystal_maiden,lion,1.0
drow_ranger,jakiro,vengefulspirit,skeleton_king,sniper,0,0,viper,lich,axe,dragon_knight,crystal_maiden,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
sniper,axe,phantom_assassin,jakiro,vengefulspirit,0,0,lich,pudge,viper,drow_ranger,juggernaut,0.0
viper,sniper,dazzle,techies,bloodseeker,0,0,puck,terrorblade,spirit_breaker,ember_spirit,tiny,0.0
ember_spirit,templar_assassin,phoenix,night_stalker,pudge,0,0,dazzle,skywrath_mage,slark,bristleback,ursa,1.0
juggernaut,puck,crystal_maiden,skywrath_mage,naga_siren,0,0,zuus,weaver,antimage,slark,bristleback,0.0
obsidian_destroyer,drow_ranger,jakiro,omniknight,slardar,0,0,winter_wyvern,bristleback,sand_king,wisp,luna,0.0
riki,rubick,chen,drow_ranger,dawnbreaker,0,0,snapfire,enchantress,monkey_king,huskar,abaddon,0.0
earth_spirit,spirit_breaker,centaur,tusk,silencer,0,0,techies,gyrocopter,antimage,keeper_of_the_light,pudge,0.0
alchemist,windrunner,spectre,bounty_hunter,shadow_demon,0,0,drow_ranger,invoker,tidehunter,huskar,tusk,1.0
antimage,pudge,sniper,hoodwink,earthshaker,0,1,nyx_assassin,warlock,bristleback,keeper_of_the_light,luna,0.0
hoodwink,dazzle,beastmaster,juggernaut,queenofpain,0,1,dragon_knight,nyx_assassin,invoker,slardar,skeleton_king,0.0
tiny,pudge,puck,monkey_king,tusk,0,1,skywrath_mage,doom_bringer,witch_doctor,life_stealer,templar_assassin,1.0
centaur,invoker,kunkka,clinkz,queenofpain,0,0,hoodwink,pudge,gyrocopter,monkey_king,undying,0.0
mars,pudge,undying,void_spirit,enchantress,0,0,sniper,jakiro,drow_ranger,windrunner,leshrac,0.0
shadow_shaman,jakiro,ursa,puck,spirit_breaker,0,1,monkey_king,sniper,pugna,mars,lion,1.0
nyx_assassin,spirit_breaker,enigma,juggernaut,necrolyte,0,0,sniper,bane,bristleback,pudge,viper,1.0
slark,omniknight,witch_doctor,tinker,ursa,0,1,axe,snapfire,skeleton_king,ember_spirit,ogre_magi,1.0
lina,magnataur,enchantress,antimage,enigma,0,1,rattletrap,snapfire,lion,void_spirit,chaos_knight,1.0
lich,dragon_knight,sniper,crystal_maiden,tidehunter,0,0,windrunner,witch_doctor,lion,zuus,juggernaut,0.0
skeleton_king,tusk,enigma,drow_ranger,queenofpain,0,0,bristleback,luna,beastmaster,leshrac,earthshaker,0.0
ogre_magi,sniper,storm_spirit,axe,juggernaut,0,0,necrolyte,pudge,wisp,skywrath_mage,huskar,1.0
grimstroke,gyrocopter,beastmaster,bloodseeker,phantom_assassin,0,0,weaver,life_stealer,storm_spirit,keeper_of_the_light,wisp,0.0
wisp,marci,faceless_void,shadow_shaman,legion_commander,0,0,luna,antimage,magnataur,tiny,obsidian_destroyer,0.0
alchemist,ursa,weaver,skywrath_mage,tiny,0,0,keeper_of_the_light,snapfire,razor,windrunner,ancient_apparition,0.0
spirit_breaker,dazzle,slark,dark_willow,nyx_assassin,0,0,tinker,pudge,spectre,ogre_magi,bounty_hunter,0.0
bristleback,lion,snapfire,dragon_knight,skywrath_mage,0,0,pudge,juggernaut,keeper_of_the_light,invoker,life_stealer,0.0
ancient_apparition,pudge,oracle,skeleton_king,crystal_maiden,0,1,nevermore,bounty_hunter,juggernaut,marci,warlock,1.0
tidehunter,medusa,lion,rubick,viper,0,1,phantom_lancer,hoodwink,jakiro,sand_king,mirana,1.0
zuus,lina,juggernaut,sniper,medusa,0,0,grimstroke,spectre,ursa,arc_warden,enigma,1.0
windrunner,0,0,0,0,0,0,windrunner,0,0,0,0,1.0
zuus,zuus,crystal_maiden,vengefulspirit,drow_ranger,0,0,dragon_knight,skeleton_king,warlock,pudge,viper,0.0
disruptor,weaver,drow_ranger,skeleton_king,jakiro,0,0,juggernaut,enchantress,ursa,skywrath_mage,necrolyte,0.0
techies,pugna,void_spirit,treant,axe,0,0,witch_doctor,bloodseeker,doom_bringer,skeleton_king,phoenix,0.0
bristleback,axe,life_stealer,techies,jakiro,0,1,rubick,shadow_shaman,death_prophet,juggernaut,huskar,1.0
pugna,sniper,antimage,night_stalker,rubick,0,0,necrolyte,spirit_breaker,dawnbreaker,puck,luna,1.0
rattletrap,spectre,hoodwink,tiny,tinker,0,0,troll_warlord,arc_warden,riki,enchantress,invoker,1.0
rubick,lina,life_stealer,night_stalker,ogre_magi,0,0,tiny,pudge,antimage,treant,earthshaker,1.0
witch_doctor,pudge,windrunner,storm_spirit,drow_ranger,0,0,life_stealer,faceless_void,obsidian_destroyer,enigma,tiny,0.0
magnataur,pudge,witch_doctor,naga_siren,techies,0,1,crystal_maiden,windrunner,juggernaut,furion,lycan,1.0
viper,tiny,invoker,crystal_maiden,spirit_breaker,0,1,silencer,terrorblade,witch_doctor,dark_seer,naga_siren,0.0
arc_warden,lion,ember_spirit,hoodwink,dawnbreaker,0,1,queenofpain,clinkz,silencer,keeper_of_the_light,abaddon,1.0
crystal_maiden,skeleton_king,templar_assassin,monkey_king,pudge,0,1,slark,axe,obsidian_destroyer,ogre_magi,doom_bringer,0.0
pudge,lion,kunkka,phantom_lancer,shadow_demon,0,1,disruptor,dawnbreaker,queenofpain,snapfire,phantom_assassin,1.0
weaver,lich,kunkka,windrunner,slark,0,1,winter_wyvern,disruptor,phantom_lancer,morphling,axe,0.0
witch_doctor,drow_ranger,luna,life_stealer,grimstroke,0,0,bristleback,lion,phantom_lancer,gyrocopter,skywrath_mage,1.0
brewmaster,chaos_knight,venomancer,earth_spirit,phantom_lancer,0,0,life_stealer,zuus,vengefulspirit,skywrath_mage,legion_commander,1.0
zuus,mars,morphling,shadow_shaman,pudge,0,0,visage,pangolier,ogre_magi,oracle,clinkz,1.0
crystal_maiden,weaver,earthshaker,tidehunter,shadow_shaman,0,0,windrunner,morphling,bristleback,phoenix,sniper,0.0
witch_doctor,mirana,tiny,skeleton_king,ember_spirit,0,0,nevermore,bloodseeker,death_prophet,keeper_of_the_light,pudge,0.0
dark_seer,disruptor,monkey_king,bounty_hunter,slark,0,0,queenofpain,pudge,dawnbreaker,life_stealer,treant,1.0
phantom_assassin,dawnbreaker,zuus,skywrath_mage,pudge,0,1,juggernaut,doom_bringer,ember_spirit,nyx_assassin,tusk,0.0
wisp,shadow_shaman,ancient_apparition,invoker,puck,0,0,rattletrap,furion,viper,rubick,hoodwink,1.0
dark_willow,lich,gyrocopter,skywrath_mage,ursa,0,0,morphling,huskar,crystal_maiden,windrunner,night_stalker,1.0
windrunner,phantom_lancer,earth_spirit,lina,shredder,0,0,axe,riki,obsidian_destroyer,enigma,monkey_king,1.0
morphling,earthshaker,invoker,dark_willow,weaver,0,1,dragon_knight,jakiro,nevermore,techies,razor,1.0
dazzle,tiny,spirit_breaker,skeleton_king,antimage,0,1,lion,huskar,slark,sand_king,enigma,1.0
vengefulspirit,ogre_magi,luna,pudge,nevermore,0,1,zuus,shredder,skywrath_mage,gyrocopter,witch_doctor,0.0
faceless_void,winter_wyvern,alchemist,pangolier,witch_doctor,0,0,bristleback,ancient_apparition,invoker,antimage,keeper_of_the_light,1.0
viper,dragon_knight,enchantress,lion,juggernaut,0,0,vengefulspirit,legion_commander,ancient_apparition,ursa,chaos_knight,1.0
sniper,phantom_assassin,ogre_magi,viper,zuus,0,1,keeper_of_the_light,juggernaut,rattletrap,slardar,jakiro,1.0
sniper,mirana,phantom_assassin,axe,venomancer,0,0,life_stealer,crystal_maiden,treant,luna,dawnbreaker,1.0
shadow_shaman,life_stealer,pudge,zuus,bloodseeker,0,0,witch_doctor,viper,sven,winter_wyvern,techies,0.0
vengefulspirit,dawnbreaker,phantom_assassin,ogre_magi,warlock,0,0,ancient_apparition,bounty_hunter,omniknight,tinker,bane,0.0
leshrac,crystal_maiden,pudge,ogre_magi,sniper,0,1,jakiro,zuus,windrunner,winter_wyvern,juggernaut,0.0
legion_commander,weaver,antimage,faceless_void,lion,0,1,invoker,sniper,pudge,bloodseeker,rubick,1.0
windrunner,abyssal_underlord,lina,skywrath_mage,juggernaut,0,0,rubick,huskar,bounty_hunter,bloodseeker,chaos_knight,0.0
earthshaker,bristleback,broodmother,invoker,nyx_assassin,0,1,rubick,skywrath_mage,spectre,tusk,jakiro,1.0
ogre_magi,shadow_shaman,vengefulspirit,gyrocopter,razor,0,0,axe,jakiro,antimage,storm_spirit,rubick,0.0
bloodseeker,dark_seer,wisp,life_stealer,pudge,0,1,sniper,obsidian_destroyer,bane,bristleback,phoenix,0.0
medusa,witch_doctor,nyx_assassin,silencer,juggernaut,0,1,clinkz,bristleback,ogre_magi,windrunner,sniper,1.0
windrunner,enchantress,obsidian_destroyer,clinkz,lion,0,0,necrolyte,zuus,crystal_maiden,weaver,sniper,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
winter_wyvern,silencer,rattletrap,doom_bringer,legion_commander,0,0,lina,queenofpain,pudge,undying,life_stealer,1.0
dragon_knight,jakiro,meepo,marci,templar_assassin,0,0,hoodwink,sniper,warlock,batrider,razor,0.0
nevermore,crystal_maiden,huskar,gyrocopter,riki,0,1,sniper,sven,tidehunter,shadow_shaman,dawnbreaker,1.0
chaos_knight,phoenix,shredder,slark,juggernaut,0,0,bounty_hunter,skeleton_king,axe,lina,furion,0.0
witch_doctor,windrunner,techies,nyx_assassin,enchantress,0,0,undying,shadow_shaman,pudge,luna,treant,1.0
snapfire,phantom_assassin,invoker,alchemist,venomancer,0,0,magnataur,necrolyte,drow_ranger,disruptor,antimage,1.0
warlock,ember_spirit,naga_siren,monkey_king,life_stealer,0,0,jakiro,bounty_hunter,dawnbreaker,tinker,ursa,1.0
vengefulspirit,zuus,lion,tidehunter,dragon_knight,0,0,phantom_assassin,crystal_maiden,pudge,axe,juggernaut,1.0
sniper,warlock,jakiro,viper,drow_ranger,0,0,lich,juggernaut,witch_doctor,phantom_assassin,windrunner,0.0
juggernaut,marci,pudge,vengefulspirit,huskar,0,0,warlock,shredder,mirana,templar_assassin,morphling,0.0
venomancer,slardar,obsidian_destroyer,phantom_lancer,rubick,0,1,techies,skeleton_king,warlock,necrolyte,ember_spirit,1.0
faceless_void,phantom_assassin,medusa,void_spirit,pugna,0,0,omniknight,riki,ancient_apparition,arc_warden,bounty_hunter,1.0
dazzle,vengefulspirit,faceless_void,sand_king,pudge,0,0,marci,weaver,bane,juggernaut,queenofpain,0.0
zuus,shadow_demon,viper,monkey_king,witch_doctor,0,1,doom_bringer,rattletrap,phantom_assassin,jakiro,death_prophet,1.0
sniper,witch_doctor,monkey_king,windrunner,faceless_void,0,1,furion,luna,phantom_assassin,drow_ranger,silencer,0.0
jakiro,omniknight,razor,pudge,hoodwink,0,0,phantom_assassin,shredder,enigma,leshrac,sniper,0.0
void_spirit,mirana,skywrath_mage,slark,axe,0,1,spirit_breaker,lich,viper,phantom_assassin,enigma,0.0
